priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
125682,20.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,20.75,-2.75,COD,1226.0,Mai-Ndombe,118.0,Democratic Republic of the Congo,102424.0,Oshwe,both,identical
125683,21.25,-2.75,COD,1217.0,Kasaï,118.0,Democratic Republic of the Congo,102326.0,Dekese,21.25,-2.75,COD,1217.0,Kasaï,118.0,Democratic Republic of the Congo,102326.0,Dekese,both,identical
125684,21.75,-2.75,COD,1217.0,Kasaï,118.0,Democratic Republic of the Congo,102326.0,Dekese,21.75,-2.75,COD,1217.0,Kasaï,118.0,Democratic Republic of the Congo,102326.0,Dekese,both,identical
125685,22.25,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102456.0,Lomela,22.25,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102456.0,Lomela,both,identical
125686,22.75,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102456.0,Lomela,22.75,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102456.0,Lomela,both,identical
125687,23.25,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102456.0,Lomela,23.25,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102456.0,Lomela,both,identical
125688,23.75,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102453.0,Katako-Kombe,23.75,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102453.0,Katako-Kombe,both,identical
125689,24.25,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102453.0,Katako-Kombe,24.25,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102453.0,Katako-Kombe,both,identical
125690,24.75,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102453.0,Katako-Kombe,24.75,-2.75,COD,1231.0,Sankuru,118.0,Democratic Republic of the Congo,102453.0,Katako-Kombe,both,identical
125691,25.25,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102427.0,Kailo,25.25,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102427.0,Kailo,both,identical
125692,25.75,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102427.0,Kailo,25.75,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102427.0,Kailo,both,identical
125693,26.25,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102427.0,Kailo,26.25,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102427.0,Kailo,both,identical
125694,26.75,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102432.0,Pangi,26.75,-2.75,COD,1227.0,Maniema,118.0,Democratic Republic of the Congo,102432.0,Pangi,both,identical
125695,27.25,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102468.0,Shabunda,27.25,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102468.0,Shabunda,both,identical
125696,27.75,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102468.0,Shabunda,27.75,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102468.0,Shabunda,both,identical
125697,28.25,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102468.0,Shabunda,28.25,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102468.0,Shabunda,both,identical
125698,28.75,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102471.0,Walungu,28.75,-2.75,COD,1232.0,Sud-Kivu,118.0,Democratic Republic of the Congo,102471.0,Walungu,both,identical
125699,29.25,-2.75,BDI,1118.0,Cibitoke,109.0,Burundi,101891.0,Bukinanyana,29.25,-2.75,RWA,1557.0,Iburengerazuba,152.0,Rwanda,105430.0,Rusizi,both,country_reassignment
125700,29.75,-2.75,BDI,1128.0,Ngozi,109.0,Burundi,101962.0,Ngozi,29.75,-2.75,RWA,1555.0,Amajyepfo,152.0,Rwanda,105410.0,Gisagara,both,country_reassignment
125701,30.25,-2.75,BDI,1126.0,Muyinga,109.0,Burundi,101949.0,Muyinga,30.25,-2.75,BDI,1126.0,Muyinga,109.0,Burundi,101949.0,Muyinga,both,identical
